,Word,Frequency
352,presid,18224
246,ano,14484
74,pod,13142
828,brasil,13029
11,diss,12575
70,ex,12127
696,lul,11979
225,cas,10974
329,govern,10930
191,outr,10010
18,segund,9879
245,sobr,9733
2,diz,9611
172,est,9462
77,feder,9437
62,tod,9268
9,part,8980
336,tem,8443
439,dia,8372
460,publ,8370
211,afirm,8349
82,faz,8118
71,ministr,7997
97,aind,7986
435,poli,7803
32,pesso,7147
113,pass,7009
441,ped,6783
81,polic,6624
35,pal,6583
519,nov,6577
658,cont,6310
743,lav,6179
453,contr,6138
273,trabalh,6025
165,prim,5945
8,sen,5663
49,dev,5460
3,vai,5407
575,process,5404
80,apo,5284
161,paul,5207
231,nest,5193
415,mai,5149
88,receb,5073
1352,empr,5061
94,acord,5027
55,fic,5000
744,jat,4971
76,deput,4970
681,pag,4897
233,feir,4873
691,mor,4868
735,jus,4741
190,algum,4672
24,porqu,4664
73,dilm,4656
122,crim,4646
643,milho,4621
1004,dur,4606
169,vez,4602
185,fal,4544
573,defês,4356
114,cheg,4334
193,doi,4326
44,sab,4186
459,ministeri,4127
8969,core,4120
703,juiz,4116
628,dinh,4074
130,lei,4060
677,pres,4043
1146,nort,4031
256,feit,4023
868,filh,3915
443,grand,3906
47,val,3873
598,mil,3772
241,rio,3755
105,hoj,3740
462,tent,3708
174,med,3701
1991,mund,3698
1300,tribun,3687
86,cam,3683
485,grup,3647
1616,us,3637
48,pt,3629
709,form,3617
277,precis,3598
678,operaca,3540
599,alem,3524
523,deix,3498
26,ond,3490
1106,odebrecht,3487
741,dess,3451
458,procur,3445
531,decisa,3419
1764,ult,3417
464,direit,3374
491,lev,3367
407,republ,3333
1377,advog,3320
103,fat,3299
913,geral,3288
706,marc,3276
89,mei,3217
737,dest,3213
34,serv,3208
1042,comec,3204
1277,vot,3201
1158,prisa,3193
645,encontr,3190
91,inform,3159
303,bem,3158
1479,stf,3142
1017,desd,3135
846,seguranc,3120
1333,apresent,3113
848,qualqu,3105
1625,mulh,3100
778,corrupca,3098
633,enta,3088
107,nacion,3077
539,agor,3065
262,ant,3064
478,volt,3063
620,soc,3038
1587,trat,3031
65,moment,3015
1992,denunc,3013
1272,milit,2968
182,muit,2950
64,temp,2892
1516,julg,2875
779,investig,2873
208,apen,2864
288,acontec,2860
433,cham,2821
506,cidad,2820
950,mort,2819
467,tre,2808
1022,econom,2801
1148,forc,2784
987,tud,2753
117,candidat,2744
210,vid,2736
572,campanh,2736
1181,quer,2700
501,projet,2692
359,nom,2674
1274,famil,2663
1124,conhec,2658
12,pmdb,2630
666,sid,2627
753,recurs,2621
1731,arm,2608
281,princip,2603
685,supr,2573
1097,propin,2550
199,fez,2539
383,mes,2527
994,lid,2512
192,gent,2503
487,local,2502
1834,silv,2484
944,mostr,2480
163,ocorr,2478
571,entr,2477
1446,red,2470
704,sergi,2447
203,menos,2441
90,not,2437
1083,inici,2437
126,envolv,2436
14,aca,2433
551,pra,2409
269,cois,2407
315,sul,2399
50,la,2394
341,reform,2394
101,seman,2386
305,assim,2384
339,continu,2383
907,prov,2383
316,americ,2366
1103,delaca,2360
149,ach,2356
1392,depo,2344
1016,pouc,2338
891,tom,2332
890,send,2328
209,viv,2310
3422,eua,2307
884,port,2304
335,michel,2293
609,fim,2292
232,terc,2280
1669,ness,2260
455,sant,2256
