,Word,Frequency,Classification
537,sergi mor,573,FAKE
1831,red soc,468,FAKE
38832,core nort,435,FAKE
608,dilm rousseff,358,FAKE
2002,polic feder,321,FAKE
2327,operaca lav,299,FAKE
2791,presid lul,282,FAKE
3899,eduard cunh,228,FAKE
5776,juiz sergi,215,FAKE
847,ex ministr,210,FAKE
368,ministeri publ,208,FAKE
1115,presid dilm,205,FAKE
2384,lul silv,196,FAKE
39107,jong un,178,FAKE
2382,luiz inaci,176,FAKE
39106,kim jong,166,FAKE
2069,delaca premi,164,FAKE
6313,presid republ,162,FAKE
3358,presid michel,155,FAKE
1228,gilm mend,154,FAKE
502,deput feder,150,FAKE
3447,aeci nev,150,FAKE
7317,est unid,149,FAKE
2338,renan calh,148,FAKE
8456,ult dia,139,FAKE
38833,nort core,135,FAKE
2383,inaci lul,134,FAKE
7286,nort americ,134,FAKE
41167,core sul,132,FAKE
890,jair bolsonar,128,FAKE
35236,diari brasil,128,FAKE
535,juiz feder,124,FAKE
1359,ministr stf,124,FAKE
7319,donald trump,124,FAKE
523,lul dilm,122,FAKE
1392,lav dinh,119,FAKE
6184,faz part,117,FAKE
593,for privilegi,115,FAKE
1026,rio jan,111,FAKE
1238,supr tribun,111,FAKE
4648,cam deput,108,FAKE
9195,govern feder,108,FAKE
1239,tribun feder,107,FAKE
4358,dinh publ,105,FAKE
1377,geral republ,104,FAKE
7817,presid cam,103,FAKE
3802,tod mund,102,FAKE
586,cas civil,98,FAKE
22737,vide abaix,97,FAKE
12251,teor zavasck,96,FAKE
1410,rodrig janot,94,FAKE
5890,forc taref,91,FAKE
2906,institut lul,88,FAKE
6229,presid luiz,87,FAKE
12915,forc arm,87,FAKE
15625,delcidi amar,87,FAKE
2126,ex deput,86,FAKE
3963,palaci planalt,86,FAKE
27294,pov brasil,86,FAKE
2355,sergi mach,85,FAKE
3397,presidenc republ,85,FAKE
22500,red glob,85,FAKE
369,publ feder,82,FAKE
1537,pod est,81,FAKE
2068,acord delaca,81,FAKE
5991,poli brasil,81,FAKE
3831,process impeachment,79,FAKE
536,feder sergi,78,FAKE
9282,marcel odebrecht,78,FAKE
26707,manh hoj,78,FAKE
3178,govern dilm,76,FAKE
38856,kim jon,74,FAKE
7928,ult seman,73,FAKE
12265,presid sen,73,FAKE
12828,fal sobr,73,FAKE
1282,joesley batist,72,FAKE
6665,siti atiba,72,FAKE
2119,ex dire,71,FAKE
16578,qualqu moment,71,FAKE
527,revist vej,70,FAKE
38857,jon un,70,FAKE
1376,procur geral,69,FAKE
1371,ped prisa,67,FAKE
14686,impeachment dilm,67,FAKE
41309,folh sp,67,FAKE
2341,romer juc,66,FAKE
2523,joa dor,66,FAKE
9268,part trabalh,66,FAKE
40296,arm nucle,66,FAKE
6827,maris letic,65,FAKE
33562,us milho,65,FAKE
1024,ex govern,64,FAKE
16575,lul pod,64,FAKE
2298,organizaca crimin,63,FAKE
9360,joa sant,63,FAKE
28465,acord informaco,63,FAKE
11684,vic presid,62,FAKE
10358,cad vez,61,FAKE
