,Word,Frequency,Classification
37497,core nort,512,REAL
1211,tribun feder,460,REAL
1210,supr tribun,458,REAL
3460,lul silv,438,REAL
1099,presid michel,418,REAL
3458,luiz inaci,417,REAL
3459,inaci lul,416,REAL
507,operaca lav,412,REAL
605,ministeri publ,398,REAL
9,polic feder,386,REAL
91,nest quart,355,REAL
3457,presid luiz,346,REAL
520,sergi mor,343,REAL
740,est unid,340,REAL
84,nest terc,312,REAL
489,ex ministr,287,REAL
1256,geral republ,283,REAL
1212,feder stf,281,REAL
1451,nest quint,264,REAL
1181,dilm rousseff,246,REAL
9491,nest segund,246,REAL
24046,cliqu aqu,234,REAL
807,lav dinh,223,REAL
5904,publ feder,218,REAL
7838,nest sext,215,REAL
37507,nort core,203,REAL
95,rio jan,199,REAL
326,ano pass,194,REAL
1096,red soc,194,REAL
5852,juiz feder,189,REAL
801,donald trump,188,REAL
3760,presid lul,185,REAL
1255,procur geral,178,REAL
3952,presid cam,176,REAL
1350,delaca premi,174,REAL
519,juiz sergi,172,REAL
2556,corrupca passiv,170,REAL
5865,tribun region,169,REAL
34890,bem inform,168,REAL
36959,dia bem,166,REAL
36958,aqu princip,165,REAL
34886,princip notic,163,REAL
4255,manh dest,162,REAL
5866,region feder,156,REAL
1792,procurad geral,153,REAL
1208,gilm mend,147,REAL
5867,feder regia,146,REAL
5837,port alegr,143,REAL
6211,eduard cunh,140,REAL
448,aeci nev,138,REAL
37557,core sul,138,REAL
23713,termin dia,137,REAL
34887,notic termin,136,REAL
36956,boa noit,136,REAL
1331,joesley batist,135,REAL
6231,feder sergi,135,REAL
36957,noit aqu,135,REAL
811,ex govern,134,REAL
39966,kim jong,133,REAL
1180,presid dilm,132,REAL
1506,reform previdenc,132,REAL
6518,jus feder,131,REAL
13319,forc taref,131,REAL
7809,denunc contr,129,REAL
3,deput feder,128,REAL
3751,dest ano,128,REAL
4316,presid republ,128,REAL
6330,seguranc publ,128,REAL
1258,rodrig janot,126,REAL
15001,radi eldor,126,REAL
3048,palaci planalt,125,REAL
14999,jorn eldor,125,REAL
39967,jong un,125,REAL
1760,edson fachin,124,REAL
4102,cam deput,124,REAL
14998,comentari jorn,124,REAL
15000,eldor radi,124,REAL
31848,ouv cliqu,123,REAL
15002,eldor fm,120,REAL
31850,segu play,118,REAL
7893,organizaca crimin,117,REAL
3912,fal sobr,115,REAL
31849,aqu segu,115,REAL
31851,play ouv,114,REAL
4381,prim vez,113,REAL
451,ex dire,108,REAL
31857,abaix integr,105,REAL
1406,tribun superi,104,REAL
6923,polic civil,104,REAL
1624,faz part,103,REAL
10032,dest quart,103,REAL
11620,defês ex,103,REAL
885,pre candidat,102,REAL
1510,govern feder,101,REAL
4904,rodrig mai,101,REAL
6728,prim instanc,101,REAL
31856,aqu abaix,101,REAL
3790,ex deput,97,REAL
11256,renan calh,95,REAL
23174,noit dest,95,REAL
1775,carmen luc,94,REAL
2458,segund instanc,94,REAL
31859,degravaca comentari,94,REAL
1407,superi eleitor,93,REAL
1667,polic milit,93,REAL
31860,comentari eldor,93,REAL
826,tard dest,92,REAL
31858,integr degravaca,92,REAL
827,dest quint,91,REAL
841,seman pass,91,REAL
8918,marcel odebrecht,91,REAL
6580,institut lul,90,REAL
