,Word,Frequency,Classification
209,presid,3214,FAKE NEWS
437,lul,3111,FAKE NEWS
515,brasil,2637,FAKE NEWS
11,diss,2425,FAKE NEWS
148,pod,2262,FAKE NEWS
70,ex,2041,FAKE NEWS
73,dilm,1900,FAKE NEWS
182,govern,1560,FAKE NEWS
310,ano,1529,FAKE NEWS
62,tod,1439,FAKE NEWS
169,cas,1401,FAKE NEWS
71,ministr,1385,FAKE NEWS
2,diz,1357,FAKE NEWS
8,sen,1342,FAKE NEWS
113,est,1323,FAKE NEWS
191,tem,1323,FAKE NEWS
35,pal,1299,FAKE NEWS
747,poli,1276,FAKE NEWS
277,feder,1248,FAKE NEWS
145,faz,1238,FAKE NEWS
450,sobr,1181,FAKE NEWS
9,part,1174,FAKE NEWS
132,outr,1162,FAKE NEWS
411,dia,1160,FAKE NEWS
421,deput,1076,FAKE NEWS
432,mor,1062,FAKE NEWS
847,lav,1058,FAKE NEWS
393,ped,1007,FAKE NEWS
276,publ,970,FAKE NEWS
269,contr,961,FAKE NEWS
231,acord,957,FAKE NEWS
336,aind,954,FAKE NEWS
722,dur,951,FAKE NEWS
32,pesso,948,FAKE NEWS
6032,core,939,FAKE NEWS
848,jat,937,FAKE NEWS
48,pt,923,FAKE NEWS
3,vai,913,FAKE NEWS
345,nov,880,FAKE NEWS
375,pass,857,FAKE NEWS
1040,polic,847,FAKE NEWS
615,milho,831,FAKE NEWS
195,hoj,826,FAKE NEWS
875,nort,813,FAKE NEWS
608,petist,811,FAKE NEWS
137,receb,790,FAKE NEWS
49,dev,788,FAKE NEWS
136,vide,782,FAKE NEWS
107,apo,774,FAKE NEWS
155,afirm,772,FAKE NEWS
444,cont,772,FAKE NEWS
1173,mund,766,FAKE NEWS
446,juiz,762,FAKE NEWS
461,lei,753,FAKE NEWS
131,algum,744,FAKE NEWS
447,sergi,740,FAKE NEWS
100,paul,738,FAKE NEWS
852,dinh,727,FAKE NEWS
408,trabalh,713,FAKE NEWS
989,red,706,FAKE NEWS
1004,ult,703,FAKE NEWS
280,tent,701,FAKE NEWS
619,pres,701,FAKE NEWS
18,segund,694,FAKE NEWS
55,fic,692,FAKE NEWS
868,inform,690,FAKE NEWS
948,filh,687,FAKE NEWS
44,sab,680,FAKE NEWS
2560,eua,656,FAKE NEWS
339,cheg,652,FAKE NEWS
126,fal,647,FAKE NEWS
110,vez,637,FAKE NEWS
1272,us,634,FAKE NEWS
428,soc,631,FAKE NEWS
815,process,603,FAKE NEWS
636,cham,599,FAKE NEWS
624,mai,594,FAKE NEWS
400,mil,590,FAKE NEWS
717,glob,580,FAKE NEWS
600,tud,579,FAKE NEWS
105,prim,578,FAKE NEWS
604,pag,577,FAKE NEWS
486,jus,571,FAKE NEWS
303,feit,564,FAKE NEWS
784,stf,564,FAKE NEWS
1298,milit,559,FAKE NEWS
493,dess,556,FAKE NEWS
190,michel,554,FAKE NEWS
24,porqu,547,FAKE NEWS
1774,public,547,FAKE NEWS
202,jornal,545,FAKE NEWS
349,deix,540,FAKE NEWS
1176,operaca,539,FAKE NEWS
543,crim,537,FAKE NEWS
85,jorn,534,FAKE NEWS
1174,apresent,518,FAKE NEWS
535,cam,516,FAKE NEWS
1289,cunh,511,FAKE NEWS
365,agor,508,FAKE NEWS
530,acontec,508,FAKE NEWS
728,advog,503,FAKE NEWS
