,Word,Frequency
14,de,60142
42,a,34308
54,o,33881
3,que,33498
184,e,29517
21,do,28233
26,da,24516
8,em,16815
13,para,13934
50,um,11815
122,no,11570
178,com,11053
125,na,10060
108,O,9632
9,uma,9523
12,não,8680
33,é,8385
145,os,7126
77,por,6814
16,A,6680
65,se,6632
23,foi,6314
62,ao,5673
156,dos,5470
258,as,4710
415,mais,4554
173,como,4180
340,à,3727
1860,Lula,3664
133,pelo,3456
557,presidente,3262
223,está,2964
46,das,2941
316,ser,2933
20,disse,2858
1285,pela,2837
383,sobre,2664
326,ele,2590
2739,.,2525
6,sua,2365
84,tem,2340
457,também,2224
8232,",",2187
355,–,2174
75,seu,2154
88,já,2132
854,R$,2086
1863,ex-presidente,2001
703,contra,1992
365,Em,1989
2,diz,1959
11,mas,1940
196,ou,1934
832,Temer,1875
533,governo,1838
602,Dilma,1828
118,Federal,1814
396,foram,1744
356,são,1670
144,entre,1667
2645,[...],1635
2240,Lava,1612
302,ter,1582
414,ainda,1575
368,nesta,1574
298,até,1567
1028,nos,1563
932,nas,1552
750,anos,1496
2400,ministro,1461
685,dia,1444
327,pode,1431
4,vai,1401
1283,acordo,1384
269,estão,1378
521,São,1330
1973,Brasil,1311
636,Os,1308
116,após,1302
747,há,1197
1278,milhões,1159
247,quando,1150
142,era,1135
1070,durante,1135
67,seus,1121
58,pessoas,1117
684,No,1107
534,Michel,1087
2162,juiz,1086
273,Ele,1078
422,Na,1053
66,país,1044
242,aos,1041
2167,Tribunal,1033
677,afirmou,1027
375,será,1005
1909,Sérgio,999
1206,sem,997
117,Polícia,983
709,Ministério,980
906,dinheiro,968
10184,Coreia,962
3470,Operação,951
362,caso,947
1819,estava,945
405,muito,941
384,ano,939
310,dois,937
1240,mesmo,933
1596,De,932
36,eu,925
2892,mil,913
210,Um,873
5196,Moro,868
1311,-,867
1652,Justiça,853
1970,parte,851
2554,prisão,846
97,ela,844
1062,às,837
112,deputado,836
1162,só,829
552,Luiz,823
542,hoje,819
48,onde,816
443,É,816
337,Para,809
817,processo,805
119,fazer,801
880,Não,798
2171,decisão,794
5173,Jato,793
30,"que,",790
2224,Norte,775
379,Rio,771
726,As,763
1354,Segundo,763
31,segundo,760
309,fez,757
386,E,757
2565,corrupção,751
315,você,750
94,PT,747
1090,"anos,",731
1893,delação,730
603,teria,723
813,defesa,720
1833,desde,720
2047,outros,719
188,todos,718
626,Paulo,716
571,senador,715
45,porque,713
4851,Câmara,713
2401,Supremo,712
1872,pedido,704
104,isso,703
139,informou,702
938,maior,701
2555,petista,698
9582,"""",697
113,federal,693
551,José,693
6708,EUA,692
297,vídeo,691
1051,esse,686
2148,suas,685
1896,pelos,671
1752,teve,670
1923,desta,668
969,quem,664
792,Eduardo,658
1676,sendo,653
2648,essa,653
348,apenas,652
1489,qualquer,649
718,três,643
1873,Odebrecht,638
307,depois,633
1731,sido,624
59,me,620
1808,Estado,619
287,eles,618
1967,vez,618
2489,STF,618
1325,primeira,612
9297,...,607
3507,Inácio,597
2099,tinha,592
743,grupo,591
3095,Silva,590
439,faz,588
2408,República,588
6967,Trump,587
317,menos,584
1416,"e,",583
2214,novo,582
1477,seria,578
137,meio,564
1276,todo,561
